date,action,price,btc_held,cash
2024-01-26,BUY,41823.51,0.023886087035736598,0.0
2024-04-07,SELL,69360.39,0.0,1655.0915640602618
2024-04-27,BUY,63461.98,0.026053969203233204,0.0
2024-05-28,SELL,68398.39,0.0,1780.267497064123
2024-07-06,BUY,58230.13,0.030542388099890194,0.0
2024-07-17,SELL,64087.99,0.0,1955.4428628587598
2024-08-08,BUY,61685.99,0.03166825108903823,0.0
2024-09-06,STOP_LOSS_SELL,53962.97,0.0,1707.2039705867671
2024-09-12,BUY,58132.32,0.02933818513722109,0.0
2024-09-23,SELL,63339.99,0.0,1856.4220728565228
2025-02-19,BUY,96644.37,0.019189588082406315,0.0
2025-02-26,STOP_LOSS_SELL,84250.09,0.0,1615.1077984826538
2025-03-11,BUY,82932.99,0.019455378260016563,0.0
2025-05-02,SELL,96887.14,0.0,1883.0909812739499
2025-08-28,BUY,112566.9,0.016711909897960023,0.0
2025-09-19,SELL,115632.38,0.0,1930.505477930828
2025-09-24,BUY,113307.0,0.017020792823505142,0.0
2025-10-05,SELL,123482.31,0.0,2099.6650490619595
2025-12-02,BUY,91277.88,0.022979996731003146,0.0
2026-01-31,STOP_LOSS_SELL,78741.09,0.0,1807.6605208048288
2026-02-13,BUY,68853.96,0.02622729121584327,0.0
2026-04-12,SELL,70740.98,0.0,1853.4889390707904
2026-05-30,BUY,73884.38,0.025061257198500136,0.0
2026-06-03,STOP_LOSS_SELL,64142.75,0.0,1605.8904572139256
2026-06-07,BUY,63332.01,0.025331338240436575,0.0
